customer_id,customer_name,email,gender,age,city,state,signup_date,customer_segment,acquisition_channel,preferred_channel,total_orders,total_spend,last_purchase_date,customer_tenure_days,days_since_last_purchase,average_order_value,customer_activity,spend_category
CUST1214,Rahul Mehta,customer214@example.com,Male,30,Noida,Uttar Pradesh,2023-11-13 22:03:39,Regular,Social Media,Mobile App,11,14367.58,2025-02-09 21:29:57,1021,567,1306.14,Inactive,Medium
CUST1746,Riya Kapoor,customer746@example.com,Female,40,Dehradun,Uttarakhand,2024-11-29 23:43:25,Regular,Social Media,Mobile App,3,6892.68,2025-11-15 00:07:50,639,288,2297.56,Inactive,Medium
CUST1188,Vikram Mishra,customer188@example.com,Male,49,Dehradun,Uttarakhand,2025-07-12 16:23:52,Premium,Paid Ads,Marketplace,7,3887.71,2026-07-12 07:51:42,414,49,555.39,Active,Low
CUST1783,Vikram Mehta,customer783@example.com,Male,20,Noida,Uttar Pradesh,2023-10-03 20:33:20,Regular,Social Media,Website,9,13670.79,2025-08-20 08:51:29,1062,375,1518.98,Inactive,Medium
CUST1261,Rahul Roy,customer261@example.com,Male,54,Delhi,Delhi,2023-08-30 22:00:06,Premium,Social Media,Store,5,10161.99,2025-01-30 07:41:44,1096,577,2032.4,Inactive,Medium
CUST1967,Isha Nair,customer967@example.com,Male,28,Chennai,Tamil Nadu,2024-01-29 04:25:22,Premium,Referral,Marketplace,6,4105.68,2026-01-26 22:54:51,944,216,684.28,Inactive,Low
CUST1026,Kavya Verma,customer26@example.com,Female,56,Pune,Maharashtra,2024-05-22 20:31:37,Premium,Organic Search,Store,3,9609.59,2026-05-01 21:14:59,830,121,3203.2,At Risk,Medium
CUST1147,Pooja Verma,customer147@example.com,Male,25,Mumbai,Maharashtra,2023-12-06 05:58:39,Regular,Email Campaign,Marketplace,7,7385.02,2025-08-08 14:21:09,998,387,1055.0,Inactive,Medium
CUST1120,Aditi Patel,customer120@example.com,Female,49,Delhi,Delhi,2025-01-16 16:32:57,VIP,Email Campaign,Marketplace,10,19615.44,2025-04-26 11:05:22,591,491,1961.54,Inactive,High
CUST1586,Rahul Kumar,customer586@example.com,Female,21,Lucknow,Uttar Pradesh,2023-01-17 09:39:18,Premium,Organic Search,Mobile App,6,9869.84,2026-06-23 18:19:36,1321,68,1644.97,Active,Medium
CUST1132,Priya Kapoor,customer132@example.com,Male,24,Jaipur,Rajasthan,2023-06-07 17:29:35,Premium,Paid Ads,Store,11,5591.34,2025-05-19 03:04:45,1180,468,508.3,Inactive,Medium
CUST1501,Sneha Malhotra,customer501@example.com,Male,51,Lucknow,Uttar Pradesh,2023-09-11 04:19:55,Regular,Email Campaign,Store,7,18450.45,2025-11-07 12:48:40,1084,296,2635.78,Inactive,High
CUST1177,Simran Bansal,customer177@example.com,Male,26,Bengaluru,Karnataka,2025-10-02 19:47:53,Regular,Direct,Marketplace,8,10635.24,2026-07-24 05:42:58,332,37,1329.4,Active,Medium
CUST1719,Riya Mehta,customer719@example.com,Female,29,Bengaluru,Karnataka,2025-08-27 21:52:37,Regular,Referral,Mobile App,6,14401.29,2026-04-28 08:18:32,368,124,2400.22,At Risk,Medium
CUST1352,Ananya Bansal,customer352@example.com,Female,42,Hyderabad,Telangana,2024-11-16 13:42:02,Regular,Organic Search,Marketplace,9,11796.54,2025-05-23 08:19:09,652,464,1310.73,Inactive,Medium
CUST1235,Aman Kumar,customer235@example.com,Male,49,Delhi,Delhi,2024-07-01 17:03:59,Premium,Social Media,Marketplace,13,7349.92,2025-12-01 21:29:32,790,272,565.38,Inactive,Medium
CUST1727,Ankit Singh,customer727@example.com,Female,59,Dehradun,Uttarakhand,2024-02-03 04:03:57,Regular,Social Media,Store,4,2938.14,2025-08-25 23:17:23,939,370,734.54,Inactive,Low
CUST1555,Simran Yadav,customer555@example.com,Male,55,Chandigarh,Chandigarh,2023-06-26 07:42:25,Premium,Paid Ads,Store,6,9559.53,2026-02-25 10:10:40,1161,186,1593.26,Inactive,Medium
CUST1985,Priya Yadav,customer985@example.com,Female,42,Mumbai,Maharashtra,2025-08-25 15:31:19,VIP,Paid Ads,Mobile App,7,9443.99,2025-10-12 13:35:07,370,322,1349.14,Inactive,Medium
CUST1739,Aditya Patel,customer739@example.com,Male,33,Chandigarh,Chandigarh,2024-08-04 01:55:34,Regular,Social Media,Website,4,1896.43,2025-12-17 08:10:57,756,256,474.11,Inactive,Low
CUST1278,Karan Malhotra,customer278@example.com,Female,57,Hyderabad,Telangana,2025-09-16 09:05:26,Regular,Paid Ads,Store,9,5532.06,2026-02-11 10:18:55,348,200,614.67,Inactive,Medium
CUST1608,Neha Patel,customer608@example.com,Other,45,Jaipur,Rajasthan,2024-03-06 06:37:32,Regular,Email Campaign,Mobile App,8,9919.53,2026-04-27 12:50:57,907,125,1239.94,At Risk,Medium
CUST1715,Arjun Chauhan,customer715@example.com,Male,55,Kolkata,West Bengal,2025-01-22 12:24:02,Regular,Paid Ads,Marketplace,8,8622.19,2025-12-17 01:03:02,585,256,1077.77,Inactive,Medium
CUST1698,Rohan Singh,customer698@example.com,Male,34,Delhi,Delhi,2023-06-20 03:38:26,Premium,Email Campaign,Mobile App,2,12018.66,2026-06-20 17:38:25,1167,71,6009.33,Active,Medium
CUST1243,Aman Das,customer243@example.com,Male,49,Ahmedabad,Gujarat,2024-05-28 15:29:19,Premium,Email Campaign,Mobile App,7,8868.33,2026-03-24 21:41:35,824,159,1266.9,At Risk,Medium
CUST1672,Pooja Kapoor,customer672@example.com,Other,25,Ahmedabad,Gujarat,2025-12-12 15:37:16,Regular,Email Campaign,Marketplace,8,4561.44,2025-12-12 15:37:16,261,261,570.18,Inactive,Low
CUST1658,Aditya Roy,customer658@example.com,Female,60,Ahmedabad,Gujarat,2024-01-05 06:45:28,Regular,Organic Search,Mobile App,6,3063.14,2025-09-26 11:23:50,968,338,510.52,Inactive,Low
CUST1141,Neha Roy,customer141@example.com,Female,28,Ahmedabad,Gujarat,2024-03-20 12:07:37,Premium,Paid Ads,Store,2,5529.46,2025-09-17 09:10:19,893,347,2764.73,Inactive,Medium
CUST1764,Neha Kumar,customer764@example.com,Female,55,Lucknow,Uttar Pradesh,2024-08-11 13:02:18,Regular,Referral,Mobile App,8,4073.59,2025-04-26 00:24:58,749,491,509.2,Inactive,Low
CUST1907,Pooja Patel,customer907@example.com,Male,32,Chennai,Tamil Nadu,2023-08-10 12:08:37,Regular,Paid Ads,Marketplace,7,6443.33,2025-09-11 12:05:49,1116,353,920.48,Inactive,Medium
CUST1577,Aditya Roy,customer577@example.com,Female,46,Noida,Uttar Pradesh,2024-09-06 02:36:52,Regular,Referral,Marketplace,9,2355.71,2026-06-29 19:32:33,723,62,261.75,Active,Low
CUST1543,Riya Sharma,customer543@example.com,Female,23,Lucknow,Uttar Pradesh,2025-12-21 05:55:29,Regular,Referral,Website,4,10781.5,2026-06-14 10:04:18,252,77,2695.38,Active,Medium
CUST1216,Priya Singh,customer216@example.com,Male,33,Kolkata,West Bengal,2025-04-05 01:09:06,VIP,Email Campaign,Mobile App,8,11804.77,2025-08-25 03:25:01,512,370,1475.6,Inactive,Medium
CUST1072,Arjun Nair,customer72@example.com,Male,26,Kolkata,West Bengal,2024-04-17 01:01:29,Premium,Paid Ads,Unknown,6,15626.0,2026-08-14 05:06:25,865,16,2604.33,Active,High
CUST1737,Karan Saxena,customer737@example.com,Male,20,Lucknow,Uttar Pradesh,2025-10-31 17:43:28,VIP,Referral,Mobile App,8,1482.27,2025-10-31 17:43:28,303,303,185.28,Inactive,Low
CUST1655,Rahul Roy,customer655@example.com,Male,59,Chandigarh,Chandigarh,2023-08-14 15:00:42,VIP,Direct,Website,10,7832.2,2025-07-10 07:09:36,1112,416,783.22,Inactive,Medium
CUST1880,Vikram Singh,customer880@example.com,Female,41,Noida,Uttar Pradesh,2024-09-29 08:26:12,Regular,Referral,Store,6,11525.62,2025-09-22 12:39:17,700,342,1920.94,Inactive,Medium
CUST1170,Riya Bansal,customer170@example.com,Male,48,Kolkata,West Bengal,2023-02-17 11:35:53,Premium,Social Media,Marketplace,7,19161.67,2026-06-30 13:38:51,1290,61,2737.38,Active,High
CUST1856,Kavya Malhotra,customer856@example.com,Female,22,Noida,Uttar Pradesh,2023-12-03 21:30:57,Regular,Social Media,Website,11,18534.24,2025-03-09 22:07:38,1001,539,1684.93,Inactive,High
CUST1165,Kavya Das,customer165@example.com,Female,20,Delhi,Delhi,2023-05-31 10:33:37,Premium,Organic Search,Marketplace,5,28070.61,2026-01-08 18:36:09,1187,234,5614.12,Inactive,High
CUST1398,Kavya Singh,customer398@example.com,Female,19,Gurugram,Haryana,2024-11-08 23:18:12,Regular,Referral,Mobile App,10,11045.65,2026-01-03 07:50:09,660,239,1104.56,Inactive,Medium
CUST1517,Priya Sharma,customer517@example.com,Male,49,Noida,Uttar Pradesh,2024-03-25 03:47:19,Regular,Email Campaign,Marketplace,11,12449.57,2025-01-30 23:40:15,888,577,1131.78,Inactive,Medium
CUST1722,Rahul Nair,customer722@example.com,Male,31,Chennai,Tamil Nadu,2024-05-22 21:43:43,Premium,Email Campaign,Marketplace,6,3406.24,2025-02-02 21:50:08,830,574,567.71,Inactive,Low
CUST1628,Riya Gupta,customer628@example.com,Female,36,Dehradun,Uttarakhand,2025-02-02 16:09:27,Regular,Email Campaign,Website,7,19749.45,2025-06-29 14:10:02,574,427,2821.35,Inactive,High
